epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,47262.1,0.68817,0.381,0.94595,0.86132,0.75559,0.82547,0.62207,0.94162,0.57676,0.98147,0.00274,0.00274,0.00274
112,47688.3,0.68383,0.38181,0.94453,0.86318,0.75445,0.82545,0.62222,0.94159,0.57749,0.9814,0.002674,0.002674,0.002674
113,48114.3,0.6853,0.38006,0.94524,0.8614,0.75567,0.82555,0.62229,0.9415,0.57794,0.98133,0.002608,0.002608,0.002608
114,48538.2,0.67292,0.37782,0.94205,0.86489,0.75284,0.82551,0.62246,0.94148,0.57833,0.98129,0.002542,0.002542,0.002542
115,48963.9,0.67134,0.37471,0.93863,0.86567,0.75216,0.82542,0.62229,0.94147,0.57881,0.9813,0.002476,0.002476,0.002476
116,49386.9,0.67629,0.37371,0.94024,0.86537,0.75286,0.82535,0.62252,0.94153,0.57888,0.98128,0.00241,0.00241,0.00241
117,49810.6,0.67685,0.37375,0.93879,0.86552,0.75345,0.82547,0.62255,0.94154,0.57899,0.98125,0.002344,0.002344,0.002344
118,50234.9,0.66194,0.36597,0.93754,0.86565,0.75309,0.82544,0.62266,0.94162,0.57942,0.98129,0.002278,0.002278,0.002278
119,50661.6,0.6665,0.36881,0.93984,0.86394,0.75477,0.82568,0.62286,0.9416,0.57946,0.98137,0.002212,0.002212,0.002212
120,51087.2,0.66239,0.36286,0.93686,0.86523,0.75444,0.82573,0.62303,0.94166,0.57983,0.98131,0.002146,0.002146,0.002146
121,51512.1,0.66494,0.36117,0.93498,0.86548,0.75429,0.82567,0.62337,0.94183,0.58029,0.98143,0.00208,0.00208,0.00208
122,51938.2,0.65766,0.36111,0.93592,0.86374,0.75497,0.82576,0.62353,0.94191,0.58079,0.98157,0.002014,0.002014,0.002014
123,52363.6,0.6624,0.3584,0.93337,0.86571,0.75418,0.82567,0.62358,0.94202,0.58124,0.98161,0.001948,0.001948,0.001948
124,52789.2,0.66177,0.35958,0.9354,0.86681,0.7532,0.82575,0.62369,0.94209,0.58149,0.98166,0.001882,0.001882,0.001882
125,53213.8,0.6418,0.35061,0.93433,0.86657,0.75315,0.82584,0.62364,0.94217,0.58196,0.98175,0.001816,0.001816,0.001816
126,53636.7,0.64904,0.35541,0.93327,0.86633,0.75336,0.82588,0.6237,0.94218,0.58243,0.98173,0.00175,0.00175,0.00175
127,54060.4,0.65296,0.35184,0.92942,0.86593,0.75291,0.82565,0.62374,0.94225,0.58295,0.98186,0.001684,0.001684,0.001684
128,54483.8,0.64856,0.35325,0.93108,0.86503,0.75332,0.82562,0.62393,0.94239,0.58351,0.982,0.001618,0.001618,0.001618
129,54909.5,0.64902,0.35152,0.93188,0.86656,0.75281,0.8258,0.62406,0.94241,0.5839,0.98209,0.001552,0.001552,0.001552
130,55333.6,0.63666,0.3482,0.92889,0.86567,0.75378,0.82593,0.62412,0.94263,0.58415,0.98221,0.001486,0.001486,0.001486
131,55757.7,0.64244,0.3482,0.92843,0.86612,0.75327,0.82573,0.62407,0.94278,0.5847,0.98225,0.00142,0.00142,0.00142
132,56180.9,0.64345,0.34813,0.92837,0.86488,0.75369,0.82585,0.62424,0.94283,0.58509,0.98237,0.001354,0.001354,0.001354
133,56605.3,0.63146,0.3432,0.92353,0.86482,0.75384,0.82574,0.62406,0.943,0.58547,0.98247,0.001288,0.001288,0.001288
134,57028.3,0.63768,0.34129,0.92221,0.86483,0.75392,0.8259,0.62426,0.94321,0.58591,0.98265,0.001222,0.001222,0.001222
135,57451.9,0.62758,0.33891,0.92553,0.86531,0.75323,0.82573,0.62411,0.94339,0.58643,0.98276,0.001156,0.001156,0.001156
136,57875,0.63536,0.34001,0.92229,0.86625,0.75275,0.82568,0.62401,0.94348,0.58701,0.98284,0.00109,0.00109,0.00109
137,58297.7,0.62486,0.33776,0.92323,0.86598,0.75314,0.82567,0.62405,0.94365,0.58767,0.98299,0.001024,0.001024,0.001024
138,58720.3,0.62561,0.33441,0.92275,0.86533,0.7539,0.8257,0.62406,0.94379,0.58821,0.98311,0.000958,0.000958,0.000958
139,59143.1,0.62224,0.32916,0.921,0.86466,0.7543,0.8258,0.6241,0.94387,0.58868,0.98321,0.000892,0.000892,0.000892
140,59566.2,0.62394,0.33149,0.91773,0.86562,0.75348,0.82547,0.62403,0.94397,0.5893,0.98332,0.000826,0.000826,0.000826
141,59991.6,0.56495,0.27372,0.86563,0.86429,0.75454,0.82535,0.62389,0.94423,0.58995,0.98348,0.00076,0.00076,0.00076
142,60413.8,0.56327,0.26861,0.86398,0.8626,0.75576,0.8254,0.62396,0.94452,0.59065,0.98375,0.000694,0.000694,0.000694
143,60836.4,0.5538,0.26612,0.86434,0.86222,0.75614,0.82564,0.62409,0.94477,0.59108,0.98403,0.000628,0.000628,0.000628
144,61258.3,0.55594,0.26615,0.86248,0.86398,0.75427,0.82556,0.62407,0.94493,0.59161,0.98426,0.000562,0.000562,0.000562
145,61680.4,0.55526,0.26527,0.86452,0.86341,0.75474,0.82538,0.62402,0.94511,0.5923,0.98444,0.000496,0.000496,0.000496
146,62102.9,0.55062,0.26134,0.86378,0.86362,0.75452,0.82543,0.62425,0.94527,0.5931,0.98466,0.00043,0.00043,0.00043
147,62524.8,0.5457,0.2589,0.85724,0.86443,0.75388,0.82531,0.62421,0.94539,0.59408,0.98477,0.000364,0.000364,0.000364
148,62946.9,0.54296,0.2576,0.85934,0.86416,0.75421,0.8251,0.62413,0.94553,0.59484,0.98493,0.000298,0.000298,0.000298
149,63369.8,0.54266,0.25572,0.85714,0.86378,0.75476,0.82518,0.62411,0.94572,0.59556,0.98514,0.000232,0.000232,0.000232
150,63793.9,0.53705,0.2536,0.85728,0.86331,0.75469,0.82513,0.62421,0.94593,0.59638,0.98531,0.000166,0.000166,0.000166
